object,type,size_x_mm,size_y_mm,size_z_mm,center_x_mm,center_y_mm,center_z_mm,notes
Head internal follower magnet 1,MESH,20.0,20.0,6.0,35.0,0.0,261.0,
Head internal follower magnet 2,MESH,20.0,20.0,6.0,17.5,30.31,261.0,
Head internal follower magnet 3,MESH,20.0,20.0,6.0,-17.5,30.31,261.0,
Head internal follower magnet 4,MESH,20.0,20.0,6.0,-35.0,0.0,261.0,
Head internal follower magnet 5,MESH,20.0,20.0,6.0,-17.5,-30.31,261.0,
Head internal follower magnet 6,MESH,20.0,20.0,6.0,17.5,-30.31,261.0,
Head internal magnetic carrier,MESH,110.0,110.0,6.0,0.0,0.0,267.0,
Head underside roller 1,MESH,24.0,24.0,24.0,0.0,94.25,248.74,
Head underside roller 2,MESH,24.0,24.0,24.0,-81.62,-47.13,248.74,
Head underside roller 3,MESH,24.0,24.0,24.0,81.62,-47.13,248.74,
Head underside roller carrier ring,MESH,196.0,196.0,8.0,0.0,0.0,268.0,
Internal 2mOhm Kelvin shunt L,MESH,12.0,5.0,3.0,-27.0,-4.0,-85.83,
Internal 2mOhm Kelvin shunt R,MESH,12.0,5.0,3.0,27.0,-4.0,-85.83,
Internal 4S battery ballast,MESH,120.0,74.0,56.0,0.0,-0.45,-78.16,
Internal 8 mm key hub L,MESH,26.0,26.0,40.0,-148.0,-9.47,-135.36,26 diameter x 40
Internal 8 mm key hub R,MESH,26.0,26.0,40.0,148.0,-9.47,-135.36,26 diameter x 40
Internal ALERT gate M2.5 standoff 1,MESH,3.0,3.0,3.0,-10.0,21.62,-92.23,
Internal ALERT gate M2.5 standoff 2,MESH,3.0,3.0,3.0,10.0,21.62,-92.23,
Internal ALERT to driver EN hardware gate,MESH,28.0,14.0,1.6,0.0,21.78,-89.94,
Internal IMU controller,MESH,56.0,40.0,12.0,0.0,-51.87,-96.62,
Internal INA226 ALERT wire L,MESH,21.74,13.31,3.42,-16.54,10.0,-86.71,
Internal INA226 ALERT wire R,MESH,21.74,13.31,3.42,16.54,10.0,-86.71,
Internal INA226 M2.5 standoff L1,MESH,3.0,3.0,3.0,-27.0,-12.3,-89.86,
